S/NO,QUESTIONS,OPTION A,OPTION B,OPTION C,OPTION D,OPTION E,CORRECT ANSWER,TOPIC,,,,LEVEL
794,A persistent and appreciable rise in the general level of prices is known as,Depreciation,Inflation,Deflation,Production,,B,Inflation and deflation,,,,BEGINNER
795,"T a commercial bank, deposits are",liabilities.,assets.,capital.,cash at hand.,,A,Financial institution,,,,BEGINNER
796,The lender of last resort in the banking system is the,Industrial bank,Mortgage bank,Commercial bank ,Central bank,,D,Financial institution,,,,BEGINNER
797,Discunting a bill of exchange means the bill is,cashed over the counter.,sold on the stock exchange.,bought for less than its face value.,sold to the highest bidder.,,C,Financial institution,,,,BEGINNER
798,Among principles of taxation propounded by Adam Smith was that,a tax should be impossible to evade.,a tax should be convenient to pay.,no tax should be levided on food.,there should be no taxation without representation.,,B,Taxation,,,,BEGINNER
799,"Mr Bala's income is $800.00 per month wile thaot of Mr Jatau is $1,200.00. If Messrs Bala and Jatau pay $80.00 and $120.00 respectively as taxes, the tax system is",progressive,Regressive ,Proportional,Ad-valorem ,,C,Taxation,,,,BEGINNER
800,Government revenue from the groundnut industry is from,licenses.,rents.,royalties.,taxes.,,D,Public finance,,,,BEGINNER
801,When the value of a nation's exports is greater than its imports,A favourable balance of trade exists,An unfavourable balance of payment exists,The net foreign trade is zero,Inflation occurs,,A,International trade,,,,BEGINNER
802,"To improve the balance of payments position of West African countries, there must be",Removal of barriers toimportation of goods and services,Increases rate of exportation of goods and services,Increased domestic consumption of roreign produced goods,The development of the local market,,B,International trade,,,,BEGINNER
803,The Economic Community of West African States (ECOWAS) is an example of ,Bilateral trade,Economic integration,Regional marketing board,International competition,,B,International trade,,,,BEGINNER
804,One reason for the low agricultural prouction in West African countries is that,agriculture employs the highest percentage of the labour force.,too much money is invested in agriculture.,farmers lack the finance and technology required.,the farms are too large.,,C,Agriculture,,,,BEGINNER
805,Mone-product economies are those that,produce one main commodity.,produce only raw materials.,depend on the export of their raw materials.,specialize in agricultural industries.,,A,Basic economic system,,,,BEGINNER
806,An essential characteristic of a market economy is,Government control,Producer surplus,Consumer surplus,Consumer sovereignty,,D,Basic economic system,,,,BEGINNER
807,In a capitalist system goods are produced for those who,want them most but cannot pay for them.,can pay for them but do not want them.,want the and can also pay for them.,are dependent on the labour force.,,C,Basic economic system,,,,BEGINNER
808,An economy which exhibits features of both private and state enterprises is known as a,Capitalist economy,Mixed economy,Communist economy,Socialist economy,,B,Basic economic system,,,,BEGINNER
809,"In calculating the national income of a country x, the cost of both raw materials and the finished products were included. This jis a case of",double counting.,price fluctuations.,price differentiation.,price discrimination.,,A,National income,,,,BEGINNER
810,Economic development is defined as,outwards shift of the production possibility curve.,availability of more goods and services.,growth accompanied by qualitative change in living standard. ,growth in the national income.,,C,Economic development and planning,,,,BEGINNER
811,Which of the following is not an objective of the Organization of Petroleum Exporting Countries (OPEC)?,Stabilization of oil prices,Co-ordinating prices,Harmonizing oil prices,Stagnation  of developed economies,,D,Ppetroleum and other mineral resources,,,,BEGINNER
812,Human wants are unlimited because,production is inadequate.,resources have alternative uses.,new wants always arise.,resources are limited.,,D,Basic economic problem of the society,,,,BEGINNER
813,A basic economic problem of any society is,high level of illiteracy.,irregular power supply.,population growth.,resource allocation.,,D,Basic economic problem of the society,,,,BEGINNER
814,"In a centrally planned economy, what to produce is",determined by the forces of demand and supply.,driven by profit motive.,dtermined by consumers.,the responsibility of state's bureaucrats.,,D,Basic economic problem of the society,,,,BEGINNER
815,Which of the following is related to resource allocation in an economy?,How to produce,What to produce,For whom to produce,Efficient use of inputs,,D,Basic economic problem of the society,,,,BEGINNER
816,Which of the following is not a feature of socialism?,Collective ownership of productive resources,Freedom of enterprise,Production is not based on the profit motive,Maximization of public welfare,,B,Basic economic system,,,,BEGINNER
817,Households make economic decisions because they want to,make more profit.,increase their salaries and wages.,increase their purchases.,maximize their satisfaction.,,D,Basic economic system,,,,BEGINNER
818,State owned enterprises are more common in,Centrally planned economies,Mixed economies,Capitalist economies,Developed economies,,A,Basic economic system,,,,BEGINNER
819,A normal supply curve has a postive slope which indicates that,sellers are willing to sell more at a lower price.,sellers are indifferent to prices.,sllers are willing to sell more at a higher price.,there is always a fixed supply.,,C,Demand and supply,,,,BEGINNER
820,"To control inflation, the central bank of a country may adopt",an expansionary monetary policy.,a restrictive monetary policy.,an increase wage policy.,a deficit financing policy.,,A,Inflation and deflation,,,,BEGINNER
821,Disposable income is the income earned,by the nationals of a country resident within the country.,from productive activities of nationals of a country both at home and abroad.,when personal income tax is deducated from personal income.,when the gross income of an individual is added to person income tax.,,C,Theory of income determination,,,,BEGINNER
822,Livestock producltion in West Africa is hindered mainly by,inadequate demand.,use of traditional implements.,land tenure system.,pests and diseases.,,D,Agriculture,,,,BEGINNER
823,The componetns of a three-sector economy are,"Banks, schools, and hospitals","Workers, producers, and marketers","Households, firms, and governments","Producers, retailers, and wholesalers",,C,National income,,,,BEGINNER
824,A declining population is one in which the population is ,experiencing a high rate of emigration.,made up of large number of old people.,not producing enough goods.,not contributring enough to the national income.,,A,Population,,,,BEGINNER
825,Which of the following agencies help to stabilize farmers' income?,Local government authorities,Trade unions,Marketing boards,Co-operative organizations,,C,Agriculture,,,,BEGINNER
826,"Other things being equal, an increase in supply will lead to",a fall in price and an increase in quantity bought and sold.,an increase in price and increase in quantity bought and sold.,a fall in price and a fall in quantity bought and sold.,an increase in quantity supplied and demanded only.,,A,Demand and supply,,,,BEGINNER
827,Examples of joint stock banks are,Commercial banks,Co-operative credit societies,Central banks,Development banks,,A,Financial institutions,,,,BEGINNER
828,Goods consumed out of habit have,Elastic demand,Perfectly elastic demand,Inelastic demand,unitary elastic demand.,,C,Demand and supply,,,,BEGINNER
829,Which of the followingo items is not a recurrent expenditure?,Building of schools and colleges,Maintenance of school buildings,Payment of teachers' salaries,Purchase of stationery of examinations,,A,Public finance,,,,BEGINNER
830,"If the coefficient of price elasticity of demand is 0.1, demand is",elastic.,inelastic.,zero elastic.,unitary elastic.,,B,Demand and supply,,,,BEGINNER
831,The profit of a producer is the difference between,total cost and marginal cost.,total revenue and total cost.,average cost and total cost.,price  and total cost.,,B,Theory of cost and revenue,,,,BEGINNER
832,The rate of increase in utility is,average utility.,increasing utility.,total utility.,marginal utility.,,D,Theory of consumer behaviour,,,,BEGINNER
833,"The supply of tea is linearly presented as P=0.2Q, where P is the price and Q is the quantity. What is P when Q =25?",$0.08,$5.00,$25.02,$125,,B,Demand and supply,,,,BEGINNER
834,Increase in supply due to changes in plant size will take place only in the,normal time.,long run.,market period.,short run.,,B,Demand and supply,,,,BEGINNER
835,The long-run average cost curve is made up of several short-run,marginal and average cost curves.,average cost curves.,average variable cost curves.,arverage variable and total cost curves.,,B,Theory of cost,,,,BEGINNER
836,"Use the table below to answer questions 26 and 27. X: 2   3    4    5 and F: 2    5     2    1. From lkthe table, the mean of the distribution is",2.2,2.5,3.2,4.5,,C,Basic tools for economic analysis,,,,BEGINNER
837,What is the median of the distribution?,5,4,3,2,,C,Basic tools for economic analysis,,,,BEGINNER
838,Co-operative societies formed to market the output of their members are called,Consumers' co-operative societies,Wholesale co-operative societies,Credit and thrift co-operative societies,Producers' co-operative societies,,A,Business organization,,,,BEGINNER
839,Money will serve as a standard of deferred payment if it is,homogeneous.,durable.,easily recognized.,stable in value.,,D,Money,,,,BEGINNER
840,"Due to an increase in price , a seller increases the quantity offered for sale from 400 units to 450 units. What is the percentage change in quantity supplied?",1%,7.50%,12.50%,20%,,C,Demand and supply,,,,BEGINNER
841,Which of the following will increase the nominal value of national income? ,High rate of inflation,Increase in the value of money,Increase in import,High rate of subsistence production,,D,National income,,,,BEGINNER
842,Cyclical unemployment is ofne associated with,inadequate information.,trade fluctuations.,structural changes.,seasonal changes.,,C,Unemployment,,,,BEGINNER
843,Which of the following best defines inflation?,Cyclical increase in prices,Periodic increase in prices,Persisrent increase in prices,Occasional increase in prices,,C,Inflation and deflation,,,,BEGINNER
844,Perfect knowledge of events in a perfect market will be made possible by the existence of ,many buyers and sellers.,homogeneous products.,means of communication.,large number of traders.,,A,Market stucture,,,,BEGINNER
845,An increase in the price of a commodity from $10 to $15 leads to an increase in the quantity supplied from 10 units to 15 units. The price elasticity of supply is,0,0.5,1,5,,C,Demand and supply,,,,BEGINNER
846,Economic development may be hindered if there is,a high pool of skilled labour.,a high rate of economic growth.,political stability.,rapid population growth.,,D,Economic development and planning,,,,BEGINNER
847,Which of the following types of unemployment results from changes in the pattern of aggregate demand?,Technological unemployment,Structural unemployment,Frictional unemployment,Seasonal unemployment,,D,Unemployment,,,,BEGINNER
848,Which of the following is not a reason countries import goods?,Differences in natural endowments,The law of absolute advantage,Differences in tastes,The love for other nations,,D,International trade,,,,BEGINNER
849,Provision of shot-term loans to solve balance of payment problems is done by the,International Finance Corpporation (IFC),International Monetary Fund (IMF),International Bank for Reconstruction and Development (IBRD),African Development Bank (ADB),,B,International trade,,,,BEGINNER
850,West African countries experiencing worsening terms of trade because,they are primary producers.,their currencies are overvalued.,they import less machines.,they are tertiary producers.,,C,International trade,,,,BEGINNER
851,Which of the following statements is correct? ,"As total utility increases, the marginal utility also increases.",The marginal utility is always zero whenever the total utility reaches the maximum.,The total utility is at maximum whenever marginal utility is at it's maximum.,There is no relationship berween total utility and the marginal utility.,,B,Theory of consumer behaviour,,,,BEGINNER
852,A change in the quantity demand of a given commodity is determined by the,size of the population.,income of the consumer.,price of the commodity.,taste and fashion.,,B,Demand and supply,,,,BEGINNER
853,The likely implication of the devaluation of a country's currency is that,exports of such a country become cheaper.,importation of goods into such a country becomes cheaper.,the value of such a country's currency rises.,foreign goods are attracted into the country.,,A,International trade,,,,BEGINNER
854,International trade is desirable because it,may lead to overproduction.,brings about over-dependence of countries on one another.,provides foreign market for local goods.,brings about unhealth competition and rivalries.,,C,International trade,,,,BEGINNER
855,A financial institution established for the purpose of providing specialized services like acceptance of bills of exchange and equipment leasing is known as,Merchant Bank,Development Bank ,Central Bank ,Insurance Company,,B,Financial institution,,,,BEGINNER
856,Which of the following fucntions of money is mostly affected during inflation?,Medium of exchange,Unit of account,Store of value,Standard of deferred payment,,C,Money,,,,BEGINNER
857,Precautionary motive for holding money is to,meet daily and regular transactions.,take advantage of changes in the prices of goods and services.,cover unforeseen events.,cover expenses on house rent.,,C,Money,,,,BEGINNER
858,Which of the following measures will not encourage industrailization in West Africa?,Taking over of all forms of industries by the government.,Provision of social infrastructure.,"Giving tax incentives, especially to infant industries.",Using tariffs to discourage the use of imported items.,,C,Industrialization,,,,BEGINNER
859,The concentration of many firms of a particular iondusrry in a particular area is known as,location of industry.,amalgamation of industries.,localization of indusrries.,nationalization of industry.,,C,Industrialization,,,,BEGINNER
860,Which of the following is not an effect of the discovery of mineral resources in an area?,Increase in wealth,Overcrowding,Increase in crime rate,Under population,,D,Petroleum and other mineral resources,,,,BEGINNER
861,The concept of economic efficiency primarily implies,obtaining the maximum output from available resources at the lowest possible cost.,conserving our petroleum resources.,equity in the distribution of the nation's wealth.,producing without waste.,the limited wants unlimited resources dilemma.,A,Basic economics concept,,,,BEGINNER
862,Which of the following is true of NEPA as a public corporation in Nigeria? It is,a solar energy distributor.,organized in a perfectly competitive market.,a duopoly.,a monopolistically competitive industry.,a monopoly.,E,Business organization,,,,BEGINNER
863,A situation of full employment exisrts when,every adult is employed.,all adults who can work are employed.,all persons who have attained the age of 15 years and above are employed.,only the disabled are not employed.,all those who are able and eligible to work are employed.,E,Unemployment,,,,BEGINNER
864,Which of the following functions of money make sit possible for any person to provide for old age?,Medium of exchange,Store of value,Measure of value,Unit of account,Standard for deferred payments,B,Money,,,,BEGINNER
865,The primary objectivwe of the Agricultural Credit Guarantee Scheme is the provision of,guarantee for loans granted by banks for agricultural purposes.,agricultural inputs to facilitate credit from banks.,loans for every farmer.,agricultural products for farmers.,,A,Agriculture,,,,BEGINNER
866,Which of the following is not an advantage of localization of industries?,Enjoyment of external economies,Development of subsidiary industries,Development of organized markets,Growth of conurbation,,D,Industrialization,,,,BEGINNER
867,Which of the following is not an advantage of government ownership of enterprises?,More is provided,Pricing policy may be in the interest of consumers,Government workers may be indifferent towards the public,Infrastructures are rapidly developed,Income may be more evenly distributed,C,Business organization,,,,BEGINNER
868,"If the foreign exchange rate is ₦8 to £1, the a bicycle bought for £40 will cost",₦15.00,₦60.00,₦100.00,₦250.00,₦320.00,E,International trade,,,,BEGINNER
869,All the following are assets of a commercial bank except,Cash ,Bills discounted,Bank deposits,Investiment ,Advances of customers,E,Financial institutions,,,,BEGINNER
870,The Central Bank controls commerical banks through all the following measures except,The use of directives,The use of bank rate,Open market operations,Accepting deposits,Demanding special deposits,D,Financial institution,,,,BEGINNER
871,"If a person supplements his current income by drawing on past savings in order to make both ends meet, he is said to be living",good life.,an anverage life.,on his savings.,a reckless life.,on borrowed money.,C,Theory of income determination,,,,BEGINNER
872,Which of the following is not a set of measures of central tendency?,Mode and median,Mean and median,Mean and mode,Median and percentage,"Mode, mean, and median",D,Money,,,,BEGINNER
873,Mono-product economies are those that,have a rich cultural heritage.,produce only raw materials.,live on the exportation of their raw products.,produce one main commodity.,specialize in agricultural industries.,D,Basic economic system,,,,BEGINNER
874,"To the ecoomist, a stock of goods existing at a particular time and conforming to certain requirements such as having utility, money value and being limited in supply, is known as",Consumer goods,Products,Wealth,Commercial goods,Durable goods,C,Demand and supply,,,,BEGINNER
875,The decision to consume more of one product will under normal circumstances imply that,more of another product will be consumed.,less of somelthing else will be consumed.,no other product will be consumed.,decision-making is basic in Economics,enough resources are available.,B,Demand and supply,,,,BEGINNER
876,The difference between the Gross Domestic Product (GDP) and the Gross National Product (GNP) is the,allowance for total depreciation.,Total interest payment.,net income from aborad.,total tax and interest payments.,net internally generated income.,C,National income,,,,BEGINNER
877,One of the functions of a commercial bank is that it,is responsible for formulating monetary policies.,accepts demand and time deposits from customers.,is the lender of last resort.,is the banker of the government.,is responsible for issuing currency notes.,B,Financial institutions,,,,BEGINNER
878,Which of the following is not a problem of distribution of goods in Nigeria?,Poor communication network,Indequate storage facilities,Igmoranc eof consumers,Dishonesty of middlemen,Inadequate market,C,Distribution,,,,BEGINNER
879,"Mr Idowu needs a television and a refrigerator. Each cost ₦500.00, the exact amount he has. If Mr Idowu buys the television, the refrigerator would be regarded as the",marginal cost.,inferior item.,opportunity cost.,supplementary item.,prime cost.,C,Basic economics concept,,,,BEGINNER
880,Petro-chemical industries are located in Rivers State of Nigeria due to the presence of,a favourable climate.,coal deposits.,oil palm products.,an undulating terrain.,oil deposits.,E,Petroleum and other mineral resources,,,,BEGINNER
881,Foreign exchange control in Nigeria is enforced by the,Commercial Banks,Merchant Banks,Mortgage Banks,Central Bank,Agricultural Development Bank,D,International trade,,,,BEGINNER
882,Risk bearing and managerial control are the main functions of the,Managing director ,Manager ,Entrepreneur,Chief executive,Chief accountant,C,Production,,,,BEGINNER
883,"In the table below: Output: 1,   2,   3,   4,   5 and Total Cost (₦): 20,   56,   96,   144,   160.  The marginal cost when output is 2 units, is",₦16.00,₦20.00,₦36.00,₦40.00,₦48.00,C,Theory of cost,,,,BEGINNER
884,"If successive units of labour are added to a piece of land while capital and techology remain constant, a point will be reached in the level of production when each additional unit of labour will add less to the output than previous units. This concept is known as the",Productivity of labour,Lsw of diminishing marginal utility,Law of diminishing returns,Law of diminishing treturns of a variable factor,Internal economies of scale,C,Production,,,,BEGINNER
885,"When a firm's total revenue is at the maximum, marginal revenue is ",at the maximum.,negative.,zero.,postive.,constant.,E,Theory of cost and revenue,,,,BEGINNER
886,"Under normal circumstances, a producer will bear the entire burden of taxation on his output if the ",supply of his goods is more elastic than the demand.,demand for his product is complerely elastic.,production of his commodities is subject to diminishing returns.,demand for his product is more elastic than the supply.,demand for his product is completely inelastic.,B,Taxation,,,,BEGINNER
887,Limited liability means that,the debts of a company can only be paid from its own assets.,all debts of a company are paid from business as well as private funds of the owners.,a company does not have to pay its debts.,the debts of a company must be paid from private funds only.,government cannot tax a company.,A,Business organization,,,,BEGINNER
888,"Factory buildings, machinery and raw materials are known in Economics as",Personal wealth,Social wealth,Government wealth,Business wealth,Public wealth,D,Production,,,,BEGINNER
889,Abstention from consumption enables capital to be produced. Such abstention is called,Saving ,Production,Accumulation,factors of production are moving outward.,Opportunity cost,A,Theory of income dtermination,,,,BEGINNER
890,Tax evasion in Economics means,False declaration of assets,Paying tax only as and when due,Declaration of assets,Tax payment according to income received,Quarrelling with tax collectors,A,Taxation,,,,BEGINNER
891,The magnitude of the national income of a country depends on all the following except the,quantity of natural resources available,level of technical know-how,mobility of labour,level of productivity,quality and quantity of factors of production,C,National income,,,,BEGINNER
892,The Quantity Theory of Money states that an increase in the auntity of money would bring about,a geometrical rise in prices.,an unequal rise in prices.,a proporationate rise in prices.,an absolute rise in prices.,a less than proportionate increase in prices.,C,Money,,,,BEGINNER
893,"Under the ECOWAS agreement, a Nigerian can enter and stay in Ghana without a visa for a period of",14 days,30 days,60 days,90 days,100 days,D,International trade,,,,BEGINNER
894,Scarcity implies that,goods cannot be produced efficiently.,human wants are unlimited.,goods and services are limited in supply.,commodities are evently distributed within the economy,,C,Basic economics concept,,,,BEGINNER
895,Economic problems arise mainly as a result of,inaccurate statistical data in West Africa,Excessive wastage of available resources.,Lack of foresight on the part of resource users.,limitations in availability of resources.,,D,Basic economic problem of the society,,,,BEGINNER
896,Basic extractive activities are classified as,Manufacturing production,Tertiary production,Secondary production,Primary production,,D,Production,,,,BEGINNER
897,The entire satisfaction thar a consumer derives from a successive consumption of a particular commodity is known as,Marginal utility,Total utility  ,Average utility ,Diminishing utility ,,B,Theory of consumer behaviour,,,,BEGINNER
898,A collection of data which has not been processed is referred to as,Disjointed data,Raw data,Class intervals,Frequency,,B,Basic tools for economic analysis,,,,BEGINNER
899,Which of the following is a measure of central tendency?,Percentage,Graph,Variance,Median  ,,D,Basic tools for economic analysis,,,,BEGINNER
900,"The quantity supplied of books per week is represented by the function: Qs = 70 + ½P. At a price of ₦8.00, the quantity supplied is",70,74,76,86,,B,Demand and supply,,,,BEGINNER
901,"In production, the formula: Total product/Number of men employed is used to calcualte the",Total product,Average product,Marginal product,Fixed product,,B,Production,,,,BEGINNER
902,One of the internal economies of large scale production is,Administrative economies,Market economies,Regional economies,Horizontal economies,,B,,,,,BEGINNER
903,Dividing total variable cost by quantity of output gives,Total Cost (TC),Total Fixed Cost (TFC),Variable Cost (VC),Average Variable Cost (AVC),,D,Theory of cost,,,,BEGINNER
904,Public enterprises are established mainly to,provide basic amenities for the people.,make goods available in the markets.,make profit for the government.,compete with foreigners in the indusrial sector.,,A,Business organization,,,,BEGINNER
905,One important feature of sole proprietorship is that,It is limited liability business.,The business is owned by shareholders.,One person bears all he risks.,It is a legal entity.,,C,Business organization,,,,BEGINNER
906,The maximum amount of money a company is allowed to raise by issuing shares to the public is called,paid-up capital.,fixed capital.,working capital.,authorized capital.,,D,Business organization,,,,BEGINNER
907,The Consumers' Co-operative Society is owned by ,A management committee,Members of the society,Debenture holders,The government  ,,B,Business organization,,,,BEGINNER
908,Which of the following is a function of the retailer?,Provision of storage facilities,Financing manufacturers,Stocking variety of goods,Advertisement of goods,,C,Distribution trade,,,,BEGINNER
909,The supply of laboiur can be influenced by the,size of the population.,stage of economic development.,size of the country.,exent of the market.,,A,Labour market,,,,BEGINNER
910,Majority of West African labour force is engaged in,industrial production.,agricultural production.,mining industry.,construction industry.,,B,Labour market,,,,BEGINNER
911,Census of jpopulation is usually conduted every,20 years,15 years,10 years,7 years,,C,Population,,,,BEGINNER
912,One economic implication of over-population is that it,leads to low demand of goods.,reduces balance of payments difficulties.,leads to a fall in per capital income.,reduce pressure on the available social facilities.,,C,Population,,,,BEGINNER
913,"Hassan, an Economics teacher in Lagos, resigned his appointment and took up another job as a banker. The concept here involves",Occupational mobility of labour,Horizontal mobility of labour,Vertical mobility of labour,Geographical mobitlity of labour,,A,Mobility of labour,,,,BEGINNER
914,Net migration is the difference between,population and census.,immigrants and emigrants.,per capita income and population.,internal and external migration,,B,Population,,,,BEGINNER
915,"Wages are to some extent, determine by the",marginal utility of labour.,average utility of labour,marginal productivity of labour.,total output of labour.,,C,Production,,,,BEGINNER
916, The movement along the same demand curve is a,changing in demand.,change in quantiy demanded.,shift in demand.,market demand.,,B,Demand and supply,,,,BEGINNER
917,An industry can best be described as,a place where goods are processed.,a place where different firms produce different goods.,an aggregation of individual firms producing similar commodities.,the concentration of various firms in the same locality.,,C,Industrialization,,,,BEGINNER
918,"An association of workers in a particular industry, firm or line of job is called",Trade Union,Trade Association,Chamber of Commerce,Assembly of Workers,,A,Trade union,,,,BEGINNER
919,Average Variable Cost (AVC) curve,is U-shaped.,rises from left to right.,slopes upwards.,is horizontal to the x-axis.,,A,Theory of cost,,,,BEGINNER
920,The income elasticity of a normal good is,positive.,negative.,zero.,fixed.,,A,Demand and supply,,,,BEGINNER
921,The demand for a commodity that serves two or more purposes is,competitive demand.,complementary demand.,composite demand.,derived demand.,,C,Demand and supply,,,,BEGINNER
922,A tax on a commodity whose demand is perfectly inelastic will fall heavily on the,consumers.,manufacturers.,wholesalers.,retailers.,,A,Taxation,,,,BEGINNER
923,The main feature of regressive taxation is that its rate,is higher when income is higher.,is equal tax for all categories of people.,remains constant when income increases.,reduces when income increases.,,D,Taxation,,,,BEGINNER
924,Deficit budget means that governments,expenditure is equal to its revenue.,planned expenditure is more than the estimated income.,planned income and expenditure targets cannot be achieved.,expnditure is less than estimated government revenue.,,B,Public finance,,,,BEGINNER
925,The most unique quality of money is its,relative scarcity.,divisibility.,durability.,general acceptability.,,D,Money,,,,BEGINNER
926,Absention from consumption which enables capital to be produced is called,savings.,production.,accumulation.,opportunity cost.,,A,Theory of income determination,,,,BEGINNER
927,Which of the following will occur when he market is unstable?,Prices will fluctuate.,Demand will remain static.,Unemployment will surely fall.,Prices willr emain static.,,A,Market structure,,,,BEGINNER
928, Shares and stocks can be bought in the,commodity market.,stock exchange.,money market.,open market.,,B,Financial institution,,,,BEGINNER
929,Inflation can best be checked by,allowing supply to remain constant.,decreasing supply and increasing wages.,increasing supply and holdign wages constant.,decreasing supply and wages.,,C,Inflation and deflation,,,,BEGINNER
930,Foreign exchange control in most West African countries in enforced by the,development banks.,merchant banks.,ministry of economic planning.,central banks.,,D,International economic organization,,,,BEGINNER
931,Commercial banks settle their inter-bank indebtedness through,merchant banks.,central bank.,development bank.,stock exchange.,,B,Financial institutions,,,,BEGINNER
932,Which of the following banks grant credit facilities to individuals wishing to build houses?,Central Bank of Nigeria,Nigerian Industrial Development Bank,Agricultural Credit Bank,Federal Mortgage Bank of Nigeria,,D,Financial institutions,,,,BEGINNER
933,Unemployment that arises because of introduction of new machines and equipment in production is called,Cyclical,Structural,Seasonal,Disguised,,B,Unemployment,,,,BEGINNER
934,The primary objective of the Ngierian Industrial Development Bank (NIDB) is the provision of loans to,farmers.,manufacturers.,estate agents.,transporters.,,B,Financial institution,,,,BEGINNER
935,Small enterprises find it difficult to expand due to,inadequate capital.,lack of skilled manpower.,the high level of technology required for expansion.,their inability to provide after-sales services.,,A,Business organizations,,,,BEGINNER
936,One major export crop in West Africa is,rice.,maize.,palm kernel.,cocoa.,,D,International trade,,,,BEGINNER
937,Balance of payments deficit implies that a country is,importing more than she is exporting.,consuming less than she is producing.,living below her means.,more productive than others.,,A,International trade,,,,BEGINNER
938,West African countries have low level of economic development due to,under-population.,inadequate labour.,failure to plan.,ineffective plan implementation.,,D,Economic development and planning,,,,BEGINNER
939,Which of the following countries is not a member of the Economic Community of West  African States (ECOWAS)?,Ghana,The Gambia,Cameroun,Guinea Bissau,,C,International economic organization,,,,BEGINNER
940,Economics is regarded as a science because,its issues can be easily verified by reference to facts.,it adopts scientific method in making its analysis.,its issues are relevant for national development.,its subject matter studies human behaviour.,,B,Economics meaning and basic concepts,,,,BEGINNER
941,The opportunity cost of a worker going to the university is,"tuition, fees and books.",boarding and lodging.,the wages given up to attend university.,transportation and entertainment.,,C,Basic economics concept,,,,BEGINNER
942,Whcih of the following items not an example of circulating capital?,Raw materials,Money,Fuel,Machinery,,D,Production,,,,BEGINNER
943,"In a market economy, the problem of what goods to produce is solved primarily by",directives of the government.,the pattern of consumer's spending.,producers of consumer goods.,people producing what they want.,,B,Basic economic problems of the society,,,,BEGINNER
944,"If the weights of five puppies in kilograms are 3.5, 3.0, 4.2, 5.0, and 4.3, then the mean weight of the puppies is",3.5 kg,4.0 kg,4.2 kg,5.0 kg,,B,Basic tools for economic analysis,,,,BEGINNER
945,"If the coefficient of cross elasticity of demand for goods Y and Z is positive, the two goods are",complements.,substitutes.,luxuries.,inferior.,,B,Demand and supply,,,,BEGINNER
946,The difference between demand and wants is in,desire for the commodity.,signficance of the commodity.,ability to pay for the commodity.,economic value of the commodity.,,C,Basic economics concept,,,,BEGINNER
947,A demand curve parallel to the Y-axis indicates,Fairly elastic demand,Perfectly elastic demand,Perfectly inelastic demand ,Fairly inelastic demand,,C,Demand and supply,,,,BEGINNER
948,Which of the folowing is an example of derived demand?,Textbook,Labour,Staple food,Mobile phone,,B,Demand and supply,,,,BEGINNER
949,A rightward shift in the supply curve of a commodity is brought about by an increase in,the level of technology.,the price of the commodity.,cost of production.,taxation.,,A,Demand and supply,,,,BEGINNER
950,Effective supply is the total amount of a commodity,from a single producer.,in he warehouses of producers.,offered for sale at a market price.,produced for the market.,,C,Demand and supply,,,,BEGINNER
951,Price elasticity of supply canbe influenced by the following factors excepts,Time period,Cost of production  ,Size of consumers' income,Nature of the product,,C,Demand and supply,,,,BEGINNER
952,Increase in he supply of a product can be caused by,change in tastes and fashion of consumers.,increase in the incomes of consumers.,a fall in the cost of production.,increase in the price of product.,,D,Demand and supply,,,,BEGINNER
953,A rational consumer will purchase a commodity whose price is,greater than his marginal utility.,less than his marginal utility.,equal to his marginal utility.,equal to his total utility.,,C,Theory of consumer behaviour,,,,BEGINNER
954,Parallel markets are usually the result of,excess supply.,the activities of rich individuals.,price legislation.,inadequate information.,,C,Market structure,,,,BEGINNER
955,Another term for equilibrium price is,Price floor,Demand price,Market clearing price,Satisfactory price,,C,Price system,,,,BEGINNER
956,"When a firm is enjoying internal economies of scale, its",total cost of production is increasing as output increases.,average fixed cost is rising continuously.,average cost of production decreases as output increases.,average revenue and marginal revenue are decreasing.,,C,Industrialization,,,,BEGINNER
957,The specialization of labour enhances production because people,can concentrate on all goods they can produce better.,can efficiently produce their own needs.,can save time and produce more.,become experts in all areas of production.,,C,Production,,,,BEGINNER
958,Which of the following can be added to a firm's profit to obtain total revenue?,Total variable cost,Total fixed cost,marginal cost equals marginal revenue.,Total cost,,C,Theory of cost and revenue,,,,BEGINNER
959,The amount of money that a firm receives from the sale of its output is called,total profit.,total revenue.,total cost.,average revenue.,,B,Theory of cost and revenue,,,,BEGINNER
960,Which of the following is true of the monopolist?,His average revenue curve is horizontal,He determines both price and output,His demand and marginal revenue curves are the same,He determines either price or output,,B,Market structure,,,,BEGINNER
961,Equity shares form the bulk of the capital of a,private company.,public company.,statutory comapny.,limited partnership,,B,Financial institutions,,,,BEGINNER
962,"If a state-owned firm is sold through the stock market, the organisation becomes a",partnership.,private company.,public limited company.,public corporation.,,C,Business organization,,,,BEGINNER
963,The total number of people of working age who are willing and prepared to work at a given wage rate is the,labour force.,supply of labour.,demand for labour.,occupational demand for labour.,,A,Labour,,,,BEGINNER
964,A civil engineer jwho accepts to teach elementary scinece in a primary school because he cannot get a paid engineering job is an example of,structural unemployment.,disguished unemployment.,residual unemployment.,frictional unemployment.,,B,Unemployment,,,,BEGINNER
965,Which of the following is an implication of a large population?,Decrease in crime rate,Increase in food supply,Decrease in standard of living,Decrease incost of living,,B,Population,,,,BEGINNER
